property_id,sale_price,predicted_value,prediction_error,agent_name,agent_phone,agent_email,listing_url
P089,257592.69,302309.0395374838,-44716.349537483824,Patricia Lee,+1-555-2089,patricia.lee@realty.com,https://realty.example.com/listing/p089
P011,299876.86,344168.68285488617,-44291.82285488618,William Rodriguez,+1-555-2011,william.rodriguez@realty.com,https://realty.example.com/listing/p011
P079,349397.25,392783.50999627425,-43386.25999627425,Lisa Anderson,+1-555-2079,lisa.anderson@realty.com,https://realty.example.com/listing/p079
P042,502074.08,543939.9518408147,-41865.87184081465,Jennifer Martinez,+1-555-2042,jennifer.martinez@realty.com,https://realty.example.com/listing/p042
P087,431141.66,471560.67011088086,-40419.01011088089,Jennifer Martinez,+1-555-2087,jennifer.martinez@realty.com,https://realty.example.com/listing/p087
P033,222017.87,257570.32121768547,-35552.45121768548,Christopher Hall,+1-555-2033,christopher.hall@realty.com,https://realty.example.com/listing/p033
P062,563522.9,597479.6869817018,-33956.786981701734,Joseph Harris,+1-555-2062,joseph.harris@realty.com,https://realty.example.com/listing/p062
P074,163583.62,196635.11289541563,-33051.492895415635,David Wilson,+1-555-2074,david.wilson@realty.com,https://realty.example.com/listing/p074
P093,329024.39,361265.35332234204,-32240.963322342024,Jessica Walker,+1-555-2093,jessica.walker@realty.com,https://realty.example.com/listing/p093
P065,277718.47,309642.2723899367,-31923.802389936754,James Thomas,+1-555-2065,james.thomas@realty.com,https://realty.example.com/listing/p065
P069,456469.58,482091.250579159,-25621.670579158992,Sarah Johnson,+1-555-2069,sarah.johnson@realty.com,https://realty.example.com/listing/p069
P016,243904.21,267983.63131283526,-24079.42131283527,Lisa Anderson,+1-555-2016,lisa.anderson@realty.com,https://realty.example.com/listing/p016
P061,200628.01,218733.7916506331,-18105.781650633086,Karen Allen,+1-555-2061,karen.allen@realty.com,https://realty.example.com/listing/p061
P013,314133.29,332140.3061260716,-18007.016126071627,Sarah Johnson,+1-555-2013,sarah.johnson@realty.com,https://realty.example.com/listing/p013
P005,486809.84,502368.67755514896,-15558.83755514893,Lisa Anderson,+1-555-2005,lisa.anderson@realty.com,https://realty.example.com/listing/p005
P023,235824.0,247276.8550303462,-11452.855030346196,Patricia Lee,+1-555-2023,patricia.lee@realty.com,https://realty.example.com/listing/p023
P082,278144.25,288906.09360775235,-10761.843607752351,James Thomas,+1-555-2082,james.thomas@realty.com,https://realty.example.com/listing/p082
P081,109863.94,119770.30468306062,-9906.364683060616,William Rodriguez,+1-555-2081,william.rodriguez@realty.com,https://realty.example.com/listing/p081
P096,336190.07,345478.04209447396,-9287.972094473953,Christopher Hall,+1-555-2096,christopher.hall@realty.com,https://realty.example.com/listing/p096
P004,482356.45,489771.84356421465,-7415.393564214639,Susan Clark,+1-555-2004,susan.clark@realty.com,https://realty.example.com/listing/p004
P021,189570.45,196919.71537435148,-7349.2653743514675,Karen Allen,+1-555-2021,karen.allen@realty.com,https://realty.example.com/listing/p021
P027,260896.23,267931.7855868407,-7035.5555868406955,Robert Taylor,+1-555-2027,robert.taylor@realty.com,https://realty.example.com/listing/p027
P050,192988.88,199542.22456964827,-6553.344569648267,Michael Brown,+1-555-2050,michael.brown@realty.com,https://realty.example.com/listing/p050
P017,382522.86,386979.5807102551,-4456.720710255089,Mary Garcia,+1-555-2017,mary.garcia@realty.com,https://realty.example.com/listing/p017
P052,280294.75,284710.0253054574,-4415.275305457413,David Wilson,+1-555-2052,david.wilson@realty.com,https://realty.example.com/listing/p052
P035,473538.05,477633.65647517424,-4095.6064751742524,Thomas Lewis,+1-555-2035,thomas.lewis@realty.com,https://realty.example.com/listing/p035
P026,507317.23,511152.6471497379,-3835.417149737943,Susan Clark,+1-555-2026,susan.clark@realty.com,https://realty.example.com/listing/p026
P014,542078.3,545475.0399407274,-3396.7399407273624,Karen Allen,+1-555-2014,karen.allen@realty.com,https://realty.example.com/listing/p014
P039,172987.6,174713.30674624327,-1725.7067462432606,Mary Garcia,+1-555-2039,mary.garcia@realty.com,https://realty.example.com/listing/p039
P092,457648.29,459364.8697800548,-1716.5797800548025,Lisa Anderson,+1-555-2092,lisa.anderson@realty.com,https://realty.example.com/listing/p092
P037,453158.52,453673.5606698827,-515.04066988267,Lisa Anderson,+1-555-2037,lisa.anderson@realty.com,https://realty.example.com/listing/p037
P010,153851.05,153978.77039683564,-127.72039683564799,Richard White,+1-555-2010,richard.white@realty.com,https://realty.example.com/listing/p010
